date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2004-12-29 00:00:00+00:00,87.74,88.0,87.57,87.87,567500,51.2524643106,51.404340772,51.1531604705,51.3284025413,567500,0.0,1.0
2004-12-30 00:00:00+00:00,88.33,88.45,87.74,87.8,626400,51.5971070499,51.6672038782,51.2524643106,51.2875127248,626400,0.0,1.0
2004-12-31 00:00:00+00:00,88.55,88.65,88.3,88.37,1056400,51.9213632949,51.9799983748,51.774775595,51.815820151,1056400,0.3351,1.0
2005-01-03 00:00:00+00:00,88.74,88.84,88.16,88.18,1168000,52.0327699468,52.0914050267,51.6926864831,51.7044134991,1168000,0.0,1.0
2005-01-04 00:00:00+00:00,87.81,88.75,87.81,88.72,1935400,51.4874637033,52.0386334548,51.4874637033,52.0210429308,1935400,0.0,1.0
2005-01-05 00:00:00+00:00,88.28,88.55,87.94,87.99,1094100,51.763048579,51.9213632949,51.5636893072,51.5930068472,1094100,0.0,1.0
2005-01-06 00:00:00+00:00,88.34,88.54,88.22,88.29,1057400,51.798229627,51.9154997869,51.7278675311,51.768912087,1057400,0.0,1.0
2005-01-07 00:00:00+00:00,88.54,88.87,88.35,88.76,738700,51.9154997869,52.1089955507,51.804093135,52.0444969628,738700,0.0,1.0
2005-01-10 00:00:00+00:00,88.68,88.72,88.47,88.64,379400,51.9975888988,52.0210429308,51.8744552309,51.9741348668,379400,0.0,1.0
2005-01-11 00:00:00+00:00,89.2,89.28,88.74,88.9,844100,52.3024913146,52.3493993785,52.0327699468,52.1265860747,844100,0.0,1.0
2005-01-12 00:00:00+00:00,89.32,89.44,88.8,88.87,722000,52.3728534105,52.4432155064,52.0679509948,52.1089955507,722000,0.0,1.0
2005-01-13 00:00:00+00:00,90.18,90.18,89.73,89.75,1876700,52.8771150981,52.8771150981,52.6132572383,52.6249842543,1876700,0.0,1.0
2005-01-14 00:00:00+00:00,90.17,90.4,89.81,89.9,1043800,52.8712515901,53.0061122739,52.6601653022,52.7129368742,1043800,0.0,1.0
2005-01-18 00:00:00+00:00,90.47,90.49,89.73,89.8,1251600,53.0471568299,53.0588838459,52.6132572383,52.6543017943,1251600,0.0,1.0
2005-01-19 00:00:00+00:00,90.73,90.84,90.27,90.8,655800,53.1996080378,53.2641066257,52.92988667,53.2406525937,655800,0.0,1.0
2005-01-20 00:00:00+00:00,90.91,91.02,90.35,90.42,1064200,53.3051511817,53.3696497696,52.976794734,53.0178392899,1064200,0.0,1.0
2005-01-21 00:00:00+00:00,91.01,91.05,90.52,90.6,606300,53.3637862616,53.3872402936,53.0764743699,53.1233824338,606300,0.0,1.0
2005-01-24 00:00:00+00:00,91.4,91.5,91.0,91.09,561400,53.5924630734,53.6510981534,53.3579227536,53.4106943256,561400,0.0,1.0
2005-01-25 00:00:00+00:00,90.54,91.4,90.51,91.36,1942200,53.0882013859,53.5924630734,53.0706108619,53.5690090415,1942200,0.0,1.0
2005-01-26 00:00:00+00:00,90.71,90.92,90.63,90.85,709800,53.1878810218,53.3110146897,53.1409729578,53.2699701337,709800,0.0,1.0
2005-01-27 00:00:00+00:00,90.54,90.7,90.34,90.52,463900,53.0882013859,53.1820175138,52.970931226,53.0764743699,463900,0.0,1.0
2005-01-28 00:00:00+00:00,91.45,91.6,91.17,91.22,1128000,53.6217806134,53.7097332333,53.4576023896,53.4869199295,1128000,0.0,1.0
2005-01-31 00:00:00+00:00,91.71,91.75,91.29,91.33,1313900,53.7742318213,53.7976858533,53.5279644855,53.5514185175,1313900,0.0,1.0
2005-02-01 00:00:00+00:00,91.22,91.5,91.05,91.44,948200,53.688976415,53.8537748517,53.5889202213,53.818460901,948200,0.3446,1.0
2005-02-02 00:00:00+00:00,91.43,91.46,91.09,91.2,760300,53.8125752426,53.8302322179,53.6124628551,53.6772050981,760300,0.0,1.0
2005-02-03 00:00:00+00:00,91.35,91.44,91.06,91.06,505800,53.7654899749,53.818460901,53.5948058798,53.5948058798,505800,0.0,1.0
