date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2003-09-22 00:00:00+00:00,102.550003,102.959999,102.029999,102.849998,36677400,72.036042757,72.3240436202,71.6707669961,72.2467736396,36677400,0.0,1.0
2003-09-23 00:00:00+00:00,102.940002,103.290001,102.360001,102.589996,32489200,72.3099967679,72.5558528594,71.9025762353,72.0641357592,32489200,0.0,1.0
2003-09-24 00:00:00+00:00,101.110001,103.220001,101.07,103.120003,41694700,71.0245162567,72.5066815006,70.9964176349,72.4364381072,41694700,0.0,1.0
2003-09-25 00:00:00+00:00,100.279999,101.879997,100.199997,101.410004,52673100,70.4414830259,71.5653983937,70.3852857824,71.2352527589,52673100,0.0,1.0
2003-09-26 00:00:00+00:00,99.949997,100.660004,99.849998,100.440002,42914700,70.2096737867,70.7084167717,70.1394296908,70.5538768105,42914700,0.0,1.0
2003-09-29 00:00:00+00:00,100.93,100.989998,99.790001,100.300003,36771600,70.8980749173,70.9402203914,70.0972849192,70.4555347954,36771600,0.0,1.0
2003-09-30 00:00:00+00:00,99.949997,100.760002,99.25,100.480003,70764500,70.2096737867,70.7786601651,69.717962306,70.5819754323,70764500,0.0,1.0
2003-10-01 00:00:00+00:00,102.080002,102.18,100.199997,100.239998,65797600,71.7058915025,71.7761348959,70.3852857824,70.4133844042,65797600,0.0,1.0
2003-10-02 00:00:00+00:00,102.449997,102.559998,101.629997,101.93,44591500,71.965793744,72.0430637246,71.389786398,71.6005229002,44591500,0.0,1.0
2003-10-03 00:00:00+00:00,103.389999,104.279999,103.080002,103.669998,48806900,72.6260962528,73.2512749576,72.4083394855,72.8227809856,48806900,0.0,1.0
2003-10-06 00:00:00+00:00,103.860001,103.989998,103.199997,103.480003,20226500,72.9562482097,73.0475643402,72.4926297312,72.6893193811,20226500,0.0,1.0
2003-10-07 00:00:00+00:00,104.260002,104.309998,102.910004,103.260002,42602900,73.2372281053,73.2723476947,72.2889247333,72.5347801224,42602900,0.0,1.0
2003-10-08 00:00:00+00:00,104.0,104.389999,103.410004,104.330002,30920800,73.0545902249,73.3285442358,72.6401487247,73.2863994641,30920800,0.0,1.0
2003-10-09 00:00:00+00:00,104.279999,105.220001,103.830002,104.879997,40066500,73.2512749576,73.9115774665,72.9351754727,73.6727423425,40066500,0.0,1.0
2003-10-10 00:00:00+00:00,104.57,104.599998,103.910004,104.269997,22682800,73.4549855751,73.4760576097,72.9913727162,73.2442490729,22682800,0.0,1.0
2003-10-13 00:00:00+00:00,104.900002,105.290001,104.510002,104.709999,23825600,73.6867948144,73.9607488253,73.4128401011,73.5533275903,23825600,0.0,1.0
2003-10-14 00:00:00+00:00,105.269997,105.43,104.360001,104.800003,38484400,73.9466970559,74.0590908405,73.3074722012,73.6165507186,38484400,0.0,1.0
2003-10-15 00:00:00+00:00,104.989998,105.889999,104.639999,105.860001,39021700,73.7500123231,74.3822162102,73.5041562315,74.3611441756,39021700,0.0,1.0
2003-10-16 00:00:00+00:00,105.410004,105.730003,104.650002,104.68,32772200,74.0450446906,74.2698273427,73.5111828187,73.5322548533,32772200,0.0,1.0
2003-10-17 00:00:00+00:00,104.260002,105.629997,103.980003,105.470001,32790300,73.2372281053,74.1995783297,73.0405433726,74.0871894622,32790300,0.0,1.0
2003-10-20 00:00:00+00:00,105.040001,105.040001,103.940002,104.449997,27657000,73.7851368296,73.7851368296,73.0124447508,73.3706897099,27657000,0.0,1.0
2003-10-21 00:00:00+00:00,104.860001,105.279999,104.32,104.82,26729100,73.6586961926,73.9537229406,73.2793735794,73.6305975709,26729100,0.0,1.0
2003-10-22 00:00:00+00:00,103.540001,104.190002,103.190002,104.029999,33914500,72.7314648552,73.1880567465,72.4856087636,73.0756629619,33914500,0.0,1.0
2003-10-23 00:00:00+00:00,103.349998,103.949997,102.839996,102.889999,45830500,72.5979976311,73.0194657184,72.2397477549,72.2748722614,45830500,0.0,1.0
2003-10-24 00:00:00+00:00,103.580002,103.580002,102.18,102.830002,51723600,72.7595634769,72.7595634769,71.7761348959,72.2327274897,51723600,0.0,1.0
2003-10-27 00:00:00+00:00,103.629997,104.18,103.269997,103.739998,32460200,72.7946823638,73.1810308618,72.54180109,72.8719523444,32460200,0.0,1.0
2003-10-28 00:00:00+00:00,105.040001,105.150002,103.82,103.980003,34956200,73.7851368296,73.8624068101,72.9281495879,73.0405433726,34956200,0.0,1.0
2003-10-29 00:00:00+00:00,105.18,105.43,103.870003,104.769997,30955400,73.8834788447,74.0590908405,72.9632740944,73.5954730644,30955400,0.0,1.0
2003-10-30 00:00:00+00:00,105.400002,105.970001,104.800003,105.790001,39123100,74.0380188059,74.4384134537,73.6165507186,74.3119728168,39123100,0.0,1.0
2003-10-31 00:00:00+00:00,105.300003,105.739998,105.220001,105.400002,25761600,73.96777471,74.2768483103,73.9115774665,74.0380188059,25761600,0.0,1.0
2003-11-03 00:00:00+00:00,105.989998,106.610001,105.709999,105.75,37589300,74.452460306,74.8879801628,74.2557755732,74.283874195,37589300,0.0,1.0
2003-11-04 00:00:00+00:00,105.760002,106.269997,105.580002,105.989998,31421600,74.2909000797,74.6491450388,74.1644594428,74.452460306,31421600,0.0,1.0
